         93968 function calls (91362 primitive calls) in 33.048 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
      226    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
      154    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      288    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       12    0.000    0.000    0.001    0.000 argument_parser.py:5(define_boolean_argument)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6752(getdoc)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f4e6e750d30}
       29    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       38    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 enum.py:134(__new__)
       76    0.000    0.000    0.000    0.000 os.py:748(encode)
       11    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       29    0.000    0.000    0.000    0.000 argparse.py:1410(_add_action)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
      134    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      371    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:93(_add_aliases)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       51    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.000    0.000 gettext.py:538(find)
       60    0.000    0.000    0.000    0.000 enum.py:562(__new__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:57(bitname)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
       29    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 core.py:2702(MaskedArray)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
      325    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
    21/16    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       97    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.002    0.002 argument_parser.py:20(argument_parser)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
